"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authors API","1","0","Get authors","0"
"0","","0","Books API","2","0","Negative cases","0"
"0","","0","Books API","1","0","Post books","0"
"0","","0","Authors API","2","0","Negative cases","0"
"0","","0","Authors API","1","0","Put authors","0"
"0","","0","Books API","1","0","Get book by id","0"
"0","","0","Authors API","1","0","Negative cases - post","0"
"0","","0","Books API","1","0","Delete books","0"
"0","","0","Authors API","1","0","Post authors","0"
"0","","0","Authors API","1","0","Delete authors","0"
"0","","0","Books API","0","1","Negative cases - put","0"
"0","","0","Books API","1","0","Get books","0"
"0","","0","Authors API","1","0","Get author by id","0"
"0","","0","Books API","1","0","Put books","0"
"0","","0","Books API","1","0","Negative cases - post","0"
"0","","0","Authors API","1","0","Negative cases - put","0"
