"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","91","Testing post authors","tests","2026-09-08","passed","2026-09-08","","test_authors","",""
"","92","Testing get_id authors","tests","2026-09-08","passed","2026-09-08","","test_authors","",""
"","96","Testing negative book get","tests","2026-09-08","passed","2026-09-08","","test_books_negative","",""
"","94","Testing put books","tests","2026-09-08","passed","2026-09-08","","test_books","",""
"","90","Testing delete authors","tests","2026-09-08","passed","2026-09-08","","test_authors","",""
"","91","Testing get_id authors","tests","2026-09-08","passed","2026-09-08","","test_authors","",""
"","91","Testing negative author get","tests","2026-09-08","passed","2026-09-08","","test_authors_negative","",""
"","91","Testing negative put author","tests","2026-09-08","passed","2026-09-08","","test_authors_negative","",""
"","96","Testing get book by id","tests","2026-09-08","passed","2026-09-08","","test_books","",""
"","95","Testing negative book get","tests","2026-09-08","passed","2026-09-08","","test_books_negative","",""
"","95","Testing delete books","tests","2026-09-08","passed","2026-09-08","","test_books","",""
"","623","Testing negative author get","tests","2026-09-08","passed","2026-09-08","","test_authors_negative","",""
"","473","Testing get authors","tests","2026-09-08","passed","2026-09-08","","test_authors","",""
"","102","Testing negative put book","tests","2026-09-08","skipped","2026-09-08","","test_books_negative","",""
"","582","Testing get books","tests","2026-09-08","passed","2026-09-08","","test_books","",""
"","91","Testing put authors","tests","2026-09-08","passed","2026-09-08","","test_authors","",""
"","100","Testing negative post book","tests","2026-09-08","passed","2026-09-08","","test_books_negative","",""
"","94","Testing post books","tests","2026-09-08","passed","2026-09-08","","test_books","",""
"","97","Testing negative post author","tests","2026-09-08","passed","2026-09-08","","test_authors_negative","",""
"","102","Testing get book by id","tests","2026-09-08","passed","2026-09-08","","test_books","",""
